final_clinic_key,clinicName,Display_Name,Group,Practice_DisplayName_Group,IsActivePractice,currentPayPeriod_Number,billedPPs_YTD,netRevenueSubTotal_YTD,rentLeaseStipend_YTD,staffTrainingCost_YTD,totalStaffCost_YTD,miscellaneous_YTD,hqErrorsStipend_YTD,poErrorsStipend_YTD,negativeEarnings_YTD,brexExpensesReimbursementMkt_YTD,coveredBenefits_YTD,salesMarketing_SubTotal_YTD,grossMargin_subTotal_YTD,totalPromotionalSpend_YTD,grossMarginBeforePromSpend_YTD,promotionalSpendExclHQErrNegErns_YTD,billedPPs_L6PP,netRevenueSubTotal_L6PP,grossMargin_subTotal_L6PP,totalPromotionalSpend_L6PP,grossMarginBeforePromSpend_L6PP,promotionalSpendExclHQErrNegErns_L6PP,chargeDollars_2PPLag,arboraCollections_2PPLag,grossMarginBeforeStipendPercent_YTD,grossMarginBeforeStipendPercent_L6PP,collectionsPercent_2PPLag,netRevenueFY,netRevenueAnnualizedL6PP,performanceMetricYTD,performanceMetricL6PP,stipendCapRateFY,stipendCapRateAnnual,StipendCapFY,StipendCapAnnualizedAdj,StipendCapAvgFinal,NegativeEarningsCap
goemaere-consulting-llc,goemaere-consulting-llc,Goemaere Consulting LLC.,G2,Goemaere Consulting LLC. (G2),true,21,19,5762.28,,,,,,,,,,,3178.85,,3178.85,0.0,5,1844.11,1246.42,,1246.42,0.0,14723.689999999999,7463.28,55.166531303581223,67.589243591759711,50.688923768430335,7278.66947368421,9589.372,53.375488289520874,60.829115662427967,2.7687744144760433,3.1414557831213985,201.52993810164648,278.07312116217605,239.80152963191125,101.03856116217609
grow-with-purpose-aba,grow-with-purpose-aba,Grow with Purpose ABA,G1,Grow with Purpose ABA (G1),true,21,0,,,,,,,,,,,,-463.83,,-463.83,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guided-steps-autism-serv,guided-steps-autism-serv,Guided Steps Autism Services,G2,Guided Steps Autism Services (G2),true,21,0,,,,,,,,,,,,-419.21,,-419.21,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
halona-aba,halona-aba,Halona ABA,G3,Halona ABA (G3),true,21,10,10937.86,,,,,,,,,,,7840.58,,7840.58,0.0,6,8675.48,6311.6900000000005,,6311.6900000000005,0.0,26557.36,15518.759999999998,71.682943464260831,72.7532078916671,58.434874550783654,16406.79,37593.746666666666,66.383715898869951,67.02587455531372,3.4191857949434974,3.4512937277656861,560.97863308621027,748.54074273391632,654.75968791006335,314.76674273391637
healthyhorizons,healthyhorizons,HealthyHorizons,G2,HealthyHorizons (G2),true,21,0,,,,,,,,,,,,-479.62999999999994,,-479.62999999999994,0.0,0,,-301.33,,-301.33,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-see-you,i-see-you,I See You,G3,I See You (G3),true,21,0,,,,,,,,,,,,-419.21,,-419.21,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
il-brooke,il-brooke,Transformation ABA,G2,Transformation ABA (G2),true,21,19,12700.490000000002,,,,,,,,,,,5503.15,,5503.15,0.0,6,2119.6000000000004,631.13,,631.13,0.0,32597.16,21996.55,43.330217967968153,29.775901113417618,67.479958376742019,16042.724210526318,9184.9333333333343,52.990114131477696,44.857524018747384,2.7495057065738848,2.3428762009373694,441.09561765833132,198.63841582027396,319.86701673930264,29.070415820273908
il-ha,il-ha,Bloom ABA LLC”,G2,Bloom ABA LLC” (G2),true,21,21,109642.31000000001,10478.46,,,475.0,,,,97.0,6095.09,17145.550000000007,63377.82,17145.550000000007,80523.369999999981,17145.550000000007,6,35426.31,20687.410000000003,4990.48,25677.889999999992,4990.48,262167.43,225586.51,73.441876589429739,72.482541929994952,86.046733570222671,135747.62190476191,153514.00999999998,78.483819381746912,77.908218586086036,4.0241909690873454,3.9954109293043016,5462.7435414422644,6133.5155335532982,5798.1295374977817,3063.2353335532985
inclusive-health,inclusive-health,Inclusive Health Services,G2,Inclusive Health Services (G2),true,21,21,32778.83,,,,,,,,,,,28872.549999999996,,28872.549999999996,0.0,6,9572.98,8440.07,,8440.07,0.0,81178.17,36790.509999999995,88.0829181517461,88.16554510716621,45.320693974747144,40583.313333333339,41482.91333333333,70.9780284809465,71.027604654198583,3.6489014240473252,3.6513802327099292,1480.8450981455881,1514.6988974055248,1497.7719977755564,685.04063073885811
inspire-aba,inspire-aba,Inspire SC,G3,Inspire SC (G3),true,21,21,141084.59,,,4921.25,2500.0,,,243.97,,1105.58,8770.8,39351.02,8770.8,48121.82,8526.83,6,34264.789999999994,10675.48,243.97,10919.449999999999,0.0,544347.32000000007,405802.07999999996,34.10848768104298,31.867844513274417,74.548374739862766,174676.15904761903,148480.75666666665,50.2844425045709,48.94005660390976,2.6142221252285447,2.5470028301954879,4566.42279732226,3781.8090745956752,4174.1159359589674,812.19394126234215
